model,history_cohort,precision@10,recall@10,ndcg@10,hitrate@10,map@10,users
genre_only_ranker,20-50,0.15235737859500237,0.47691537010843943,0.382471666342661,0.7791136256482791,0.2750212397940474,8484
genre_only_ranker,51-150,0.13785777515491296,0.44821973050063935,0.3535138663424935,0.7456476836825022,0.2446020290513504,6778
genre_only_ranker,151+,0.09335162515829463,0.3867313915857605,0.28617409003254485,0.6232587589700296,0.19117372962270598,4738
leakage_safe_full_content,20-50,0.28246110325318247,0.902986012887003,0.7425642317113991,0.9767798208392268,0.6397021213600952,8484
leakage_safe_full_content,51-150,0.26254057244024787,0.8660642274023802,0.6927377333810831,0.9644437887282384,0.5692492556840447,6778
leakage_safe_full_content,151+,0.19297171802448293,0.7958175038694245,0.60223467493821,0.9130434782608695,0.46970002188765375,4738
